Entry Name,Species,Level,Happiness,Item,AI Role,Is Key Strategic Pokemon,IVs HP,IVs Attack,IVs Defense,IVs Sp.Atk,IVs Sp.Def,IVs Speed,EVs HP,EVs Attack,EVs Defense,EVs Sp.Atk,EVs Sp.Def,EVs Speed,Moves 1,Moves 2,Moves 3,Moves 4,Shininess,Use species second ability,Gender,Nature,Can Fill Combo A Role 1,Can Fill Combo A Role 2,Can Fill Combo B Role 1,Can Fill Combo B Role 2
None - 0,None (0),0,0,None (0),なし  (0),0,0,0,0,0,0,0,0,0,0,0,0,0,None (0),None (0),None (0),None (0),Never (0x0),false,Male (0),Hardy (0),false,false,false,false
Delcatty - 1,Delcatty (316),20,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Draining Kiss (167),Confusion (93),Snarl (6),Calm Mind (129),Random (0xFFFF),FALSE,Male (0),Hardy (0),false,false,false,false
Meowth - 2,Meowth (52),20,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Tackle (33),Screech (103),Power-Up Punch (130),Fake Out (252),Random (0xFFFF),FALSE,Male (0),Hardy (0),false,false,false,false
Jigglypuff - 3,Jigglypuff (39),20,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Assist (274),Sing (47),Charge Beam (143),Disarming Voice (146),Random (0xFFFF),FALSE,Male (0),Hardy (0),false,false,false,false
Paras - 4,Paras (46),20,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Bug Bite (40),Bullet Seed (331),Fury Cutter (210),Spore (147),Random (0xFFFF),FALSE,Male (0),Hardy (0),false,false,false,false
Doduo - 5,Doduo (84),25,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Pursuit (228),Peck (64),Growl (45),None (0),Random (0xFFFF),FALSE,Male (0),Hardy (0),false,false,false,false
Nidorino - 6,Nidorino (33),20,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Bite (44),Bone Club (10),Force Palm (158),Metal Claw (232),Random (0xFFFF),FALSE,Male (0),Docile (6),false,false,false,false
Houndour - 7,Houndour (228),21,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Will-O-Wisp (261),Sunny Day (241),Hone Claws (12),Taunt (269),Random (0xFFFF),FALSE,Male (0),Hardy (0),false,false,false,false
Growlithe - 8,Growlithe (58),21,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Ice Fang (282),Smokescreen (108),Flame Charge (77),Poison Fang (305),Random (0xFFFF),FALSE,Female (1),Hardy (0),false,false,false,false
Pidgeotto - 9,Pidgeotto (17),22,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Mud Shot (341),Aerial Ace (332),Metal Claw (232),Mud-Slap (189),Random (0xFFFF),FALSE,Male (0),Hardy (0),false,false,false,false
